branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
lenovo,14.0,Core i5,16,512,Intel UHD Graphics,1.37,1500000,24,3.497,1241000,17,68,5,324.3 x 213.8 x 17.9 mm,Xám,Intel,12450H,2.0,8.0,12.0,DDR5,4800 MHz,0,2,Anti - Glare,1920 x 1080 Pixels,IPS,60,,Màn hình phẳng,,Bàn phím cứng,Không,Không,Pin sạc,65 W,windows,13990000
asus,15.6,Core i5,16,512,Intel UHD Graphics,1.7,2500000,24,4.497,1659000,67,96,4,35.68 x 22.76 x 1.99 ~ 1.99 cm,Bạc,Intel,13500H,2.6,4.0,8.0,DDR4,3200 MHz,1,Có,FHD,1920 x 1080 Pixels,IPS,60,100% DCI-P3,OLED,,Chiclet Keyboard,Có,Không,Lithium-ion,65 W,windows,18490000
asus,14.0,Core i3,8,256,Intel UHD Graphics,1.6,2000000,24,2.282,1417000,353,289,5,325.4 x 216.0 x 19.9 cm,Bạc,Intel,1115G4,3.0,2.0,4.0,DDR4,3200 MHz,Không,Có,Anti-glare LED-backlit,1920 x 1080 Pixels,TN,60,45% NTSC,LED,,Chiclet Keyboard,Không,Không,Lithium-ion,,windows,8990000
msi,15.6,Core i5,8,512,NVIDIA GeForce GTX 1650 4GB,1.86,2000000,12,3.625,1257000,124,140,5,359 x 254 x 21.7 mm,Đen,Intel,11400H,2.7,6.0,12.0,DDR4,3200 MHz,2,0,FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Không,LED,Lithium polymer,120 W,windows,14490000
dell,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.9,3600000,12,3.732,1880000,42,71,4,235 x 358 x 189 mm,Đen,Intel,1235U,1.3,10.0,12.0,DDR4,2666 MHz,2,8,Anti - Glare,1920 x 1080 Pixels,WVA,120,45% NTSC,LED,2,English International Backlit Keyboard,Có,Không,Lithium-ion,65 W,windows,14990000
lenovo,15.6,Core i7,16,512,Intel Iris Xe Graphics,1.63,1300000,24,4.197,1402000,14,35,5,359.2 x 236.5 x 19.9 mm,Xám,Intel,1255U,1.7,10.0,12.0,DDR4,3200 MHz,1,1,IPS,1920 x 1080 Pixels,IPS,Hãng không công bố,45% NTSC,,2,"6-row, multimedia Fn keys, numeric keypad",Có,Không,Lithium polymer 3 viên,65 W,windows,15990000
asus,15.6,Ryzen 5,16,512,Intel Iris Xe Graphics,1.7,2300000,24,4.147,1498000,15,22,5,35.97 x 23.25 x 1.79 cm,Đen,AMD,7530U,4.3,,,,,1,1,OLED Màn hình chính:,1920 x 1080 Pixels Màn hình chính:,OLED,60  Màn hình chính:,,,,Chiclet Keyboard,Có (NumberPad),Không,,,windows,16690000
hp,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.41,3400000,12,4.172,1554000,252,155,5,32.5 x 21.66 x 1.7 cm,Bạc,Intel,1235U,33.0,10.0,12.0,DDR4,3200 MHz,8,0,LED Backlit,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,,"6-row, multimedia Fn keys, numeric keypad",Không,Không,,,windows,16290000
dell,15.6,Core i7,16,512,NVIDIA GeForce MX550 2GB,1.65,3500000,12,5.897,2181000,14,20,4,"358,50 x 234,90 x 17,50",Bạc,Intel,1355U,1.2,10.0,12.0,DDR4,3200 MHz,2,0,Anti-Glare LED-Backlit Display,1920 x 1080 Pixels,WVA,120,45% NTSC,LED,2,English International Backlit Keyboard,Không,LED,Lithium-ion,65 W,windows,23490000
asus,14.0,Core i5,8,512,Intel UHD Graphics,1.6,4500000,24,4.122,1578000,36,73,5,31.71 x 22.20 x 1.99 ~ 1.99 mm,Đen,Intel,13500H,3.5,12.0,16.0,DDR4,3200 MHz,1,Có,OLED,2880 x 1800 Pixels,IPS,90,100% DCI-P3,OLED,2,Chiclet Keyboard,Không,LED,,,windows,15990000
